"instrument","date","open","high","low","close","volume","source","complete"
"BTCUSDT","2024-04-13","67116.52","67929","60660.57","63924.51","71395.22019","binance_spot_klines","true"
"BTCUSDT","2024-04-14","63924.52","65840","62134","65661.84","61599.17818","binance_spot_klines","true"
"BTCUSDT","2024-04-15","65661.85","66867.07","62274.4","63419.99","52389.53069","binance_spot_klines","true"
"BTCUSDT","2024-04-16","63419.99","64365","61600","63793.39","53435.29331","binance_spot_klines","true"
"BTCUSDT","2024-04-17","63793.4","64499","59678.16","61277.37","50610.54509","binance_spot_klines","true"
"BTCUSDT","2024-04-18","61277.38","64117.09","60803.35","63470.08","43601.60918","binance_spot_klines","true"
"BTCUSDT","2024-04-19","63470.09","65450","59600.01","63818.01","69774.30271","binance_spot_klines","true"
"BTCUSDT","2024-04-20","63818.01","65419","63090.07","64940.59","23137.42975","binance_spot_klines","true"
"BTCUSDT","2024-04-21","64940.58","65695.56","64237.5","64941.15","19316.42152","binance_spot_klines","true"
"BTCUSDT","2024-04-22","64941.15","67232.35","64500","66819.32","31397.99371","binance_spot_klines","true"
"BTCUSDT","2024-04-23","66819.32","67183.01","65765.81","66414","22599.90004","binance_spot_klines","true"
"BTCUSDT","2024-04-24","66414","67070.43","63606.06","64289.59","33595.69637","binance_spot_klines","true"
"BTCUSDT","2024-04-25","64289.58","65297.94","62794","64498.34","31341.46338","binance_spot_klines","true"
"BTCUSDT","2024-04-26","64498.33","64820.01","63297.48","63770.01","27085.19346","binance_spot_klines","true"
"BTCUSDT","2024-04-27","63770","63923.41","62391.24","63461.98","20933.06052","binance_spot_klines","true"
"BTCUSDT","2024-04-28","63461.98","64370","62781","63118.62","16949.20005","binance_spot_klines","true"
"BTCUSDT","2024-04-29","63118.62","64228.35","61765.53","63866","28150.22947","binance_spot_klines","true"
"BTCUSDT","2024-04-30","63866","64734","59191.6","60672","54947.65535","binance_spot_klines","true"
"BTCUSDT","2024-05-01","60672.01","60841.63","56552.82","58364.97","81166.46823","binance_spot_klines","true"
"BTCUSDT","2024-05-02","58364.97","59625","56911.84","59060.61","47583.81961","binance_spot_klines","true"
"BTCUSDT","2024-05-03","59060.6","63333","58811.32","62882.01","43628.40143","binance_spot_klines","true"
"BTCUSDT","2024-05-04","62882.01","64540","62541.03","63892.04","24368.69282","binance_spot_klines","true"
"BTCUSDT","2024-05-05","63892.03","64646","62822.17","64012","18526.75029","binance_spot_klines","true"
"BTCUSDT","2024-05-06","64012","65500","62700","63165.19","34674.91949","binance_spot_klines","true"
"BTCUSDT","2024-05-07","63165.18","64422.41","62261","62312.08","25598.79472","binance_spot_klines","true"
"BTCUSDT","2024-05-08","62312.07","63020.22","60888","61193.03","26121.19004","binance_spot_klines","true"
"BTCUSDT","2024-05-09","61193.03","63429.03","60630","63074.01","30660.8061","binance_spot_klines","true"
"BTCUSDT","2024-05-10","63074","63469.13","60187.12","60799.99","36529.34025","binance_spot_klines","true"
"BTCUSDT","2024-05-11","60799.99","61515","60487.09","60825.99","13374.56936","binance_spot_klines","true"
"BTCUSDT","2024-05-12","60825.99","61888","60610","61483.99","12753.13236","binance_spot_klines","true"
"BTCUSDT","2024-05-13","61484","63450","60749.21","62940.08","32733.41839","binance_spot_klines","true"
"BTCUSDT","2024-05-14","62940.09","63118.36","61142.77","61577.49","29088.72041","binance_spot_klines","true"
"BTCUSDT","2024-05-15","61577.49","66444.16","61319.47","66206.5","43559.74719","binance_spot_klines","true"
"BTCUSDT","2024-05-16","66206.51","66752.01","64602.77","65235.21","31106.3671","binance_spot_klines","true"
"BTCUSDT","2024-05-17","65235.21","67451.2","65106.38","67024","26292.23409","binance_spot_klines","true"
"BTCUSDT","2024-05-18","67024","67400.01","66600","66915.2","14441.25774","binance_spot_klines","true"
"BTCUSDT","2024-05-19","66915.2","67700","65857.25","66274.01","18025.30409","binance_spot_klines","true"
"BTCUSDT","2024-05-20","66274","71515.56","66060.31","71446.62","50816.7011","binance_spot_klines","true"
"BTCUSDT","2024-05-21","71446.62","71979","69162.94","70148.34","49607.4336","binance_spot_klines","true"
"BTCUSDT","2024-05-22","70148.34","70666","68842.19","69166.62","27673.18026","binance_spot_klines","true"
